name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"22911, Charlottesville, VA, United States",2024-03-01,53,28.5,41.7,53,25,40.5,23.4,52.1,0.084,100,20.83,rain,0,0,21.9,6.7,32.6,1032.9,41.7,9.7,139.9,12.2,7,10,2024-03-01T06:44:42,2024-03-01T18:07:52,0.71,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"99999903759,0618W,KGVE,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-03-02,65.3,42.8,51.8,65.3,39.8,50.8,44.9,78.4,0.744,100,41.67,rain,0,0,14.1,5.1,25.3,1022,83.8,6.8,127.3,11,6,10,2024-03-02T06:43:17,2024-03-02T18:08:53,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"99999903759,0618W,KGVE,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-03-03,62.8,48.4,53.9,62.8,48.4,53.9,47.1,78.2,0,0,0,rain,0,0,14.5,3.1,2.7,1022.6,74.5,9.6,67.7,5.7,3,10,2024-03-03T06:41:51,2024-03-03T18:09:53,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"99999903759,0618W,KGVE,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-03-04,69.7,47.7,57.8,69.7,47.7,57.8,46.4,68.9,0.145,100,12.5,rain,0,0,16.3,6.4,62.3,1023.6,75.1,8.4,156.3,13.5,7,10,2024-03-04T06:40:25,2024-03-04T18:10:53,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"99999903759,C9335,0618W,KGVE,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-03-05,66.5,52,57.6,66.5,52,57.6,50.9,78.7,0.234,100,45.83,rain,0,0,20.4,6.9,94,1018.1,83.7,7.2,96,8.1,5,10,2024-03-05T06:38:57,2024-03-05T18:11:53,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"99999903759,C9335,0618W,KGVE,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-03-06,57.5,53.8,55.8,57.5,53.8,55.8,52,87.1,0.145,100,33.33,rain,0,0,17.7,4.7,44.1,1012.1,99.3,8.3,27.5,2.3,2,10,2024-03-06T06:37:30,2024-03-06T18:12:53,0.88,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"99999903759,0618W,KGVE,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-03-07,68.9,52.5,59.6,68.9,52.5,59.6,47.8,67.3,0.051,100,16.67,rain,0,0,19.9,5.3,23.7,1013.4,57.6,8.9,173.4,14.9,8,10,2024-03-07T06:36:02,2024-03-07T18:13:52,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"99999903759,0618W,KGVE,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-03-08,62,45.5,54.6,62,43.6,54.3,42.5,64.7,0,0,0,rain,0,0,19.9,6.3,116,1022.2,55.2,9.9,158.1,13.7,8,10,2024-03-08T06:34:33,2024-03-08T18:14:51,0.94,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"99999903759,0618W,KGVE,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-03-09,49.7,43.8,46.5,48.6,41.1,45,42.5,85.9,0.982,100,91.67,rain,0,0,40.7,6.3,47.3,1011.2,100,3.6,28.3,2.4,2,10,2024-03-09T06:33:04,2024-03-09T18:15:49,0.98,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"99999903759,0618W,KGVE,KCHO,KOMH,72401693736"
"22911, Charlottesville, VA, United States",2024-03-10,52.4,40.8,47.4,52.4,35.5,44.8,26.8,46.9,0.084,100,12.5,rain,0,0,37.4,9.4,292.7,1005.7,68.8,9.7,175.6,14.5,8,10,2024-03-10T07:31:35,2024-03-10T19:16:48,0,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"99999903759,0618W,KGVE,KCHO,KOMH,72401693736"
